
Dies[A,A,E,E,G,N,][A,B,B,J,O,O,][A,C,H,O,P,S,][A,F,F,K,P,S,][A,O,O,T,T,W,][C,I,M,O,T,U,][D,E,I,L,R,X,][D,E,L,R,V,Y,][D,I,S,T,T,Y,][E,E,G,H,N,W,][E,E,I,N,S,U,][E,H,R,T,V,W,][E,I,O,S,S,T,][E,L,R,T,T,Y,][H,I,M,N,U,Qu,][H,L,N,N,R,Z,]
board:B W E T E E L S N O V E W F O X 	n_words 112 	avg 1.12e+02 	std 0.0 	min 112 	max 112 	N 1	words:['bee', 'bees', 'beet', 'beetle', 'bel', 'below', 'belt', 'ben', 'bene', 'bevel', 'eel', 'eleven', 'elevon', 'els', 'else', 'enol', 'enow', 'eon', 'eve', 'even', 'ewe', 'foe', 'fon', 'fool', 'fools', 'foveole', 'foveolet', 'fox', 'leben', 'lee', 'leet', 'leno', 'leone', 'let', 'lev', 'levee', 'levo', 'lex', 'lone', 'loo', 'loof', 'love', 'loves', 'low', 'lown', 'neb', 'nee', 'neve', 'new', 'newel', 'noel', 'noo', 'novel', 'now', 'oes', 'ole', 'oleo', 'one', 'oven', 'own', 'see', 'seel', 'sel', 'set', 'seven', 'sew', 'sex', 'sleet', 'sleeve', 'slew', 'sloe', 'sloven', 'slow', 'steel', 'steeve', 'stele', 'stew', 'svelte', 'tee', 'teel', 'teen', 'tel', 'tele', 'teles', 'telex', 'tels', 'tew', 'vee', 'vest', 'vestee', 'vex', 'voe', 'vole', 'volt', 'volte', 'vow', 'web', 'wee', 'ween', 'wees', 'weet', 'welt', 'welts', 'wen', 'west', 'wet', 'woe', 'won', 'woo', 'woof', 'wove', 'woven']
board:V L G A T O N K E S U M H E B R 	n_words 126 	avg 96.6 	std 35.0 	min 40 	max 134 	N 5	words:['ago', 'agon', 'ankus', 'ankush', 'anus', 'bee', 'bees', 'beet', 'behest', 'beset', 'besot', 'best', 'brush', 'bum', 'bun', 'bung', 'bunk', 'bur', 'bus', 'bush', 'bust', 'eon', 'gan', 'glost', 'gnu', 'gosh', 'got', 'hes', 'hest', 'het', 'knot', 'knur', 'kue', 'log', 'logan', 'long', 'lose', 'lost', 'lot', 'lour', 'louse', 'mun', 'mungo', 'muns', 'muon', 'mus', 'muse', 'mush', 'must', 'mustee', 'nag', 'noes', 'nog', 'nos', 'nose', 'nosh', 'not', 'note', 'nous', 'nub', 'numb', 'numbs', 'oes', 'ons', 'onset', 'onus', 'ose', 'our', 'oust', 'rub', 'rube', 'rue', 'rum', 'run', 'rung', 'ruse', 'rush', 'rushee', 'rust', 'sebum', 'see', 'set', 'seton', 'she', 'sheet', 'sheol', 'snag', 'snog', 'snot', 'snub', 'sol', 'son', 'song', 'sot', 'sou', 'souk', 'sour', 'stour', 'sub', 'sue', 'sum', 'sun', 'sung', 'sunk', 'tee', 'toe', 'toes', 'tog', 'toga', 'ton', 'tong', 'tonga', 'tons', 'tonus', 'tosh', 'tour', 'touse', 'ungot', 'uns', 'unset', 'urb', 'use', 'voe', 'volt', 'volte', 'vote']
board:E N D T O L - I E I H G X P I O 	n_words 301 	avg 1.31e+02 	std 82.6 	min 40 	max 301 	N 6	words:['del', 'dele', 'deli', 'den', 'dex', 'die', 'diel', 'dig', 'dig', 'digit', 'digs', 'dike', 'dill', 'dim', 'dime', 'din', 'dine', 'diol', 'dip', 'dis', 'dit', 'dit', 'doe', 'dog', 'dol', 'dole', 'don', 'done', 'eel', 'ego', 'eke', 'eld', 'elegit', 'elf', 'elhi', 'elk', 'ell', 'elm', 'els', 'eme', 'end', 'ends', 'eng', 'enol', 'enols', 'ens', 'eon', 'epigon', 'exile', 'exine', 'exit', 'expel', 'expo', 'felon', 'fen', 'fie', 'fig', 'fil', 'file', 'filo', 'fit', 'fix', 'flex', 'flip', 'floe', 'foe', 'fog', 'foh', 'foil', 'fon', 'gel', 'geld', 'gen', 'ghi', 'ghi', 'ghis', 'gid', 'gid', 'gie', 'gien', 'gig', 'gild', 'gill', 'gillie', 'gimel', 'gin', 'gip', 'gip', 'git', 'git', 'glen', 'god', 'gold', 'gone', 'grid', 'held', 'helio', 'helix', 'helo', 'hen', 'hep', 'hex', 'hid', 'hid', 'hide', 'hie', 'hie', 'high', 'hike', 'hili', 'hill', 'hillo', 'hilt', 'him', 'hin', 'hind', 'hip', 'hip', 'his', 'hit', 'hit', 'hod', 'hoe', 'hog', 'hog', 'hoke', 'hold', 'hole', 'hollo', 'home', 'homo', 'hon', 'hondle', 'hone', 'hood', 'hop', 'hot', 'idle', 'idler', 'idles', 'idol', 'ids', 'ikon', 'ilex', 'ilex', 'ill', 'imid', 'indigo', 'ion', 'ion', 'irid', 'jeon', 'jig', 'joe', 'jole', 'kelep', 'ken', 'keno', 'kep', 'kepi', 'kex', 'khi', 'kid', 'kip', 'koel', 'koi', 'lei', 'lei', 'lek', 'leke', 'lend', 'lends', 'leno', 'leno', 'lens', 'lent', 'leone', 'leone', 'lept', 'let', 'lex', 'lex', 'lid', 'lie', 'lie', 'lion', 'lion', 'lip', 'lip', 'lit', 'lone', 'lone', 'loo', 'lop', 'lord', 'lot', 'loti', 'mel', 'meld', 'mid', 'mig', 'moil', 'mol', 'mold', 'mole', 'neon', 'nerd', 'net', 'nigh', 'nihil', 'noel', 'noes', 'noil', 'noir', 'nom', 'noo', 'noodle', 'nor', 'nori', 'nos', 'not', 'oes', 'ogle', 'ohm', 'oho', 'ohs', 'oil', 'oils', 'oke', 'old', 'oldie', 'olds', 'ole', 'oleo', 'oles', 'olio', 'one', 'ons', 'pein', 'peke', 'pekoe', 'pele', 'pelon', 'pelt', 'pen', 'pend', 'peon', 'pep', 'per', 'peri', 'pes', 'pet', 'phi', 'phis', 'phon', 'phone', 'pht', 'pie', 'pig', 'pig', 'pigeon', 'pigs', 'pike', 'piki', 'pile', 'pilei', 'pili', 'pill', 'pin', 'pine', 'pinole', 'pion', 'pip', 'pis', 'pit', 'pix', 'pixel', 'pixes', 'plie', 'pod', 'poi', 'prig', 'psi', 'rid', 'rig', 'sidle', 'sigh', 'tide', 'tie', 'tiglon', 'tigon', 'tike', 'tiki', 'til', 'tile', 'till', 'time', 'tin', 'tine', 'tip', 'tipi']
board:M A W E O R H T Z E P C T U R S 	n_words 108 	avg 1.27e+02 	std 76.9 	min 40 	max 301 	N 7	words:['are', 'arm', 'awe', 'cham', 'chao', 'char', 'chare', 'charm', 'chaw', 'chew', 'chroma', 'cruet', 'epha', 'era', 'ers', 'erupt', 'etch', 'etcher', 'eth', 'ether', 'ham', 'hao', 'hare', 'harm', 'harp', 'harper', 'harps', 'haw', 'hep', 'her', 'herm', 'herma', 'hero', 'hers', 'het', 'hew', 'mar', 'mare', 'maw', 'moa', 'mor', 'mora', 'more', 'morph', 'oar', 'ora', 'ore', 'peh', 'per', 'perch', 'perm', 'pet', 'pht', 'pram', 'prao', 'prez', 'pro', 'proa', 'prom', 'pur', 'pure', 'purs', 'put', 'putz', 'ram', 'raw', 'rep', 'repro', 'ret', 'roam', 'roe', 'rom', 'rue', 'ruer', 'rut', 'scherzo', 'schwa', 'sperm', 'sprue', 'spue', 'spur', 'tephra', 'term', 'tew', 'tharm', 'thaw', 'the', 'therm', 'thew', 'thraw', 'thro', 'throe', 'tup', 'twa', 'uphroe', 'ups', 'war', 'ware', 'warm', 'warp', 'warper', 'wet', 'wether', 'wha', 'wham', 'whet', 'zero', 'zoa']
board:F V E S E E T M O E D V T B G N 	n_words 50 	avg 1.18e+02 	std 76.3 	min 40 	max 301 	N 8	words:['bed', 'bee', 'beef', 'beet', 'beg', 'bet', 'bot', 'deb', 'debt', 'dee', 'deem', 'deems', 'dees', 'deet', 'dev', 'devest', 'edge', 'eve', 'fed', 'fee', 'feed', 'feet', 'fet', 'fete', 'ged', 'gee', 'get', 'meed', 'meet', 'mestee', 'met', 'mete', 'obe', 'see', 'seed', 'set', 'steed', 'steeve', 'stem', 'stet', 'ted', 'tee', 'teem', 'teg', 'tet', 'toe', 'vee', 'vest', 'vestee', 'vet']
board:H I H W E M E E I O F J R S L W 	n_words 46 	avg 1.1e+02 	std 75.4 	min 40 	max 301 	N 9	words:['eme', 'emf', 'emir', 'ewe', 'fee', 'feh', 'fem', 'feme', 'few', 'floe', 'foe', 'for', 'heir', 'heirs', 'hem', 'heme', 'hew', 'hie', 'him', 'jee', 'jefe', 'jew', 'loris', 'mew', 'mir', 'mis', 'miso', 'mol', 'mor', 'mors', 'mos', 'rim', 'rime', 'roe', 'rolf', 'rom', 'sim', 'sir', 'sloe', 'sol', 'some', 'sori', 'sri', 'wee', 'whee', 'whim']
board:U N B T A S T T O K Y H Z L N H 	n_words 26 	avg 1.01e+02 	std 75.8 	min 26 	max 301 	N 10	words:['ant', 'ants', 'anus', 'ask', 'aunt', 'kas', 'koa', 'koan', 'kos', 'loan', 'lost', 'oak', 'oast', 'oka', 'sau', 'ska', 'sky', 'soak', 'sol', 'sty', 'sun', 'syn', 'thy', 'tsk', 'uns', 'zoa']
board:U W R Z E I N X B E W P T E P T 	n_words 48 	avg 96.5 	std 73.9 	min 26 	max 301 	N 11	words:['bee', 'beep', 'beet', 'ben', 'bet', 'bin', 'bine', 'epee', 'ewe', 'inept', 'neb', 'nee', 'neep', 'net', 'new', 'newie', 'newt', 'nib', 'pee', 'peen', 'pein', 'pen', 'pet', 'pew', 'pewee', 'rib', 'rin', 'tee', 'teen', 'ten', 'tepee', 'tew', 'twee', 'tween', 'tweet', 'twin', 'twine', 'web', 'wee', 'ween', 'weenie', 'weep', 'weet', 'weir', 'wen', 'wet', 'win', 'wine']
board:U E G H L T A O D F G Z I C T L 	n_words 60 	avg 93.5 	std 71.5 	min 26 	max 301 	N 12	words:['aft', 'age', 'ago', 'ate', 'azo', 'eat', 'ego', 'eld', 'elf', 'eta', 'fag', 'fat', 'fate', 'fid', 'flea', 'flu', 'flue', 'flute', 'gae', 'gag', 'gage', 'gat', 'gate', 'gel', 'geld', 'gelt', 'get', 'geta', 'ghat', 'goa', 'goat', 'hae', 'haet', 'haft', 'hag', 'hao', 'hat', 'hate', 'hog', 'idle', 'lea', 'leaf', 'leg', 'let', 'leu', 'lute', 'lutea', 'oaf', 'oat', 'tae', 'tael', 'tag', 'tao', 'tea', 'teg', 'tel', 'tule', 'uta', 'zag', 'zoa']
board:T E I B R L P Y E C O E A R N Z 	n_words 157 	avg 98.4 	std 70.7 	min 26 	max 301 	N 13	words:['ace', 'acne', 'acorn', 'acre', 'aero', 'arc', 'are', 'bier', 'bile', 'bye', 'car', 'care', 'carer', 'carn', 'carney', 'carol', 'caroler', 'caroli', 'cel', 'celt', 'cere', 'cero', 'clear', 'clepe', 'clip', 'clon', 'clone', 'clop', 'cloy', 'cloze', 'col', 'cole', 'colt', 'colter', 'con', 'cone', 'coney', 'cop', 'cope', 'copen', 'coper', 'copier', 'copy', 'cor', 'core', 'corer', 'corn', 'coy', 'coz', 'cozen', 'cozey', 'crepe', 'crepon', 'crone', 'crop', 'croze', 'ear', 'earn', 'elope', 'eloper', 'encore', 'enol', 'enrol', 'eon', 'era', 'ere', 'ern', 'erne', 'ilea', 'lea', 'lear', 'learn', 'lei', 'let', 'lib', 'lie', 'lier', 'lip', 'loca', 'lone', 'lop', 'lope', 'loper', 'lore', 'lorn', 'nor', 'oca', 'ocrea', 'ole', 'olea', 'one', 'ope', 'open', 'ora', 'oracle', 'orc', 'orca', 'ore', 'pele', 'pelt', 'pen', 'pence', 'pencel', 'peon', 'per', 'pert', 'pet', 'petrel', 'pie', 'pier', 'pierce', 'piercer', 'pile', 'pilea', 'plea', 'plie', 'plier', 'ploy', 'pol', 'pole', 'poler', 'ponce', 'pone', 'pore', 'porn', 'pye', 'race', 'racer', 'racon', 'rear', 'rec', 'recon', 'recopy', 'rei', 'relearn', 'relet', 'relier', 'rep', 'repo', 'ret', 'roc', 'roe', 'role', 'rope', 'roper', 'tel', 'tele', 'tepoy', 'terce', 'tercel', 'treacle', 'yen', 'yip', 'yipe', 'yon', 'yore', 'zone']
board:R N K T N N U S E E J E D R R U 	n_words 56 	avg 95.4 	std 69.0 	min 26 	max 301 	N 14	words:['dee', 'deer', 'dejeuner', 'den', 'dene', 'dere', 'dree', 'ere', 'err', 'jee', 'jeer', 'jereed', 'jerreed', 'jest', 'jeu', 'jun', 'junk', 'jus', 'just', 'jut', 'knee', 'kue', 'nee', 'need', 'nerd', 'neuk', 'nun', 'nut', 'nuts', 'red', 'rede', 'ree', 'reed', 'res', 'rest', 'reuse', 'rue', 'ser', 'sere', 'serene', 'stun', 'stunner', 'sue', 'sued', 'suede', 'suer', 'sun', 'sunk', 'sunn', 'tsk', 'tun', 'tune', 'tuner', 'tusk', 'use', 'user']
board:L D J C X N P N E V S O T N E T 	n_words 61 	avg 93.1 	std 67.2 	min 26 	max 301 	N 15	words:['end', 'ens', 'eon', 'estop', 'eve', 'even', 'evens', 'event', 'neon', 'nest', 'net', 'netop', 'nets', 'neve', 'noes', 'nos', 'nose', 'not', 'note', 'oes', 'ons', 'onset', 'ops', 'ose', 'poet', 'pose', 'post', 'pot', 'potent', 'pots', 'sen', 'sene', 'sent', 'sente', 'set', 'seton', 'seven', 'snot', 'son', 'sop', 'sot', 'spot', 'stop', 'ten', 'tend', 'tenet', 'tens', 'tense', 'tent', 'toe', 'toes', 'ton', 'tons', 'top', 'tops', 'vend', 'vent', 'vest', 'vet', 'veto', 'vex']
board:T N Z C D A E K X Qu T O U C I T 	n_words 56 	avg 90.8 	std 65.7 	min 26 	max 301 	N 16	words:['and', 'ane', 'ant', 'ate', 'att', 'attic', 'cent', 'cite', 'date', 'dato', 'datto', 'daze', 'eat', 'end', 'eta', 'iota', 'kea', 'ken', 'kent', 'keto', 'koi', 'nae', 'neat', 'neck', 'net', 'nett', 'oke', 'qua', 'quad', 'quant', 'quate', 'quean', 'quit', 'tad', 'tae', 'tan', 'tat', 'tate', 'tax', 'tea', 'teat', 'ten', 'tend', 'tent', 'tic', 'tit', 'titan', 'toe', 'toit', 'toke', 'token', 'tot', 'tote', 'zax', 'zek', 'zeta']
board:A D U E H O Y H W T O R R L C T 	n_words 88 	avg 90.6 	std 63.8 	min 26 	max 301 	N 17	words:['ado', 'cloot', 'clot', 'cloth', 'cloy', 'col', 'colt', 'coo', 'coot', 'cor', 'cory', 'cot', 'coy', 'cry', 'dah', 'dhow', 'door', 'dot', 'dow', 'due', 'duo', 'dye', 'had', 'hao', 'hey', 'hod', 'holt', 'hood', 'hoot', 'hot', 'how', 'howl', 'hoy', 'hue', 'loo', 'loot', 'lot', 'loth', 'ooh', 'oot', 'orc', 'ort', 'oud', 'owl', 'rho', 'roc', 'rood', 'root', 'rot', 'rotl', 'roto', 'rye', 'ryot', 'tho', 'thou', 'toad', 'toady', 'tod', 'too', 'tool', 'toot', 'tooth', 'tor', 'torc', 'tort', 'tot', 'tow', 'toy', 'toyo', 'trot', 'troth', 'troy', 'try', 'two', 'tye', 'tyro', 'udo', 'wha', 'who', 'woad', 'woo', 'wool', 'wot', 'yod', 'yodh', 'you', 'yow', 'yowl']
board:E D E C P I Z I V X J W E O E S 	n_words 26 	avg 87.0 	std 63.7 	min 26 	max 301 	N 18	words:['cede', 'cedi', 'die', 'dip', 'dive', 'eide', 'ice', 'jew', 'jive', 'joe', 'oes', 'oxid', 'oxide', 'ped', 'pie', 'pied', 'pix', 'sew', 'sex', 'vex', 'vide', 'vie', 'voe', 'wiz', 'zed', 'zip']
board:W S I D T H S P O E S G E Qu L D 	n_words 68 	avg 86.0 	std 62.2 	min 26 	max 301 	N 19	words:['dip', 'dips', 'dis', 'dish', 'diss', 'eel', 'eld', 'els', 'ess', 'eth', 'glee', 'held', 'hes', 'het', 'hid', 'hip', 'hips', 'his', 'hiss', 'hist', 'hoe', 'hot', 'hotel', 'hots', 'lee', 'less', 'let', 'oes', 'pis', 'pish', 'piss', 'piste', 'psi', 'quote', 'quoth', 'see', 'sel', 'sels', 'set', 'sets', 'she', 'ship', 'ships', 'shist', 'shoe', 'shoes', 'shot', 'shote', 'sip', 'sis', 'tee', 'tel', 'tels', 'the', 'thee', 'this', 'tho', 'toe', 'toes', 'toque', 'whee', 'whet', 'whets', 'whid', 'whip', 'whips', 'whist', 'who']
board:W O F W A I D J O M U I O Y Z T 	n_words 36 	avg 83.5 	std 61.6 	min 26 	max 301 	N 20	words:['aid', 'aim', 'ami', 'amid', 'amido', 'amu', 'dim', 'dit', 'ditz', 'dow', 'dui', 'duit', 'duma', 'fid', 'fido', 'foam', 'idiom', 'judo', 'jut', 'maid', 'maw', 'miaow', 'mid', 'midi', 'moa', 'moo', 'mud', 'mut', 'odium', 'tui', 'tumid', 'udo', 'waif', 'yom', 'yum', 'zit']
board:S O T R E I N N H I T E I T Y P 	n_words 83 	avg 83.5 	std 60.1 	min 26 	max 301 	N 21	words:['eon', 'eosin', 'eosine', 'hes', 'hie', 'hin', 'hint', 'his', 'hit', 'inept', 'inn', 'inosite', 'intent', 'inti', 'into', 'ion', 'net', 'nett', 'nisei', 'nit', 'nite', 'noes', 'noise', 'nos', 'nose', 'not', 'oes', 'one', 'ose', 'pen', 'penis', 'penni', 'pent', 'pentose', 'pet', 'petit', 'petti', 'pye', 'pyin', 'sei', 'seine', 'sin', 'sine', 'sit', 'site', 'son', 'sone', 'sonnet', 'sot', 'ten', 'tennis', 'tent', 'tentie', 'the', 'thein', 'theine', 'thin', 'thio', 'this', 'tie', 'tin', 'tine', 'tint', 'tintype', 'tis', 'tit', 'tithe', 'titi', 'tittie', 'toe', 'toes', 'toit', 'ton', 'tone', 'tonne', 'tye', 'type', 'tythe', 'yen', 'yet', 'yeti', 'yett', 'yin']
board:S N O O A P U J L E I L G Y F O 	n_words 99 	avg 84.2 	std 58.8 	min 26 	max 301 	N 22	words:['ale', 'alef', 'alp', 'ape', 'asp', 'elan', 'feal', 'feu', 'fey', 'fie', 'fil', 'filo', 'flip', 'flu', 'flue', 'foil', 'gel', 'gey', 'glean', 'gley', 'jun', 'jupe', 'jupon', 'lap', 'laps', 'las', 'lea', 'lean', 'leap', 'leas', 'leg', 'lei', 'leu', 'ley', 'lie', 'lief', 'lieu', 'life', 'lip', 'lips', 'luna', 'lye', 'nae', 'nap', 'nape', 'noo', 'nopal', 'oil', 'ons', 'opal', 'ope', 'ops', 'pal', 'pale', 'paly', 'pan', 'pans', 'pas', 'pea', 'peal', 'pean', 'peas', 'peg', 'pie', 'plan', 'plea', 'pleas', 'ply', 'pul', 'puli', 'pun', 'puna', 'puns', 'sal', 'sale', 'salep', 'salp', 'sap', 'snap', 'spa', 'spae', 'spale', 'span', 'spean', 'speil', 'spiel', 'spue', 'spun', 'unpeg', 'uns', 'upas', 'upo', 'ups', 'yea', 'yean', 'yeas', 'yelp', 'yip', 'yipe']
board:P L A S O M E H B I E E O Z V E 	n_words 131 	avg 86.2 	std 58.3 	min 26 	max 301 	N 23	words:['ale', 'alme', 'almeh', 'alp', 'ambo', 'ami', 'amie', 'amole', 'amp', 'ample', 'ash', 'bima', 'bimah', 'bio', 'biome', 'biz', 'bize', 'bola', 'bolas', 'bole', 'bop', 'eel', 'elm', 'eme', 'emes', 'eve', 'hae', 'haem', 'hale', 'hales', 'halm', 'halo', 'ham', 'hame', 'has', 'heal', 'heel', 'helm', 'helo', 'help', 'hem', 'heme', 'hemiola', 'hemp', 'hes', 'imp', 'lam', 'lamb', 'lambie', 'lambies', 'lame', 'lames', 'lamp', 'las', 'lase', 'lash', 'lea', 'leas', 'leash', 'lee', 'lei', 'lob', 'lobo', 'lop', 'mae', 'maes', 'male', 'mas', 'mash', 'meal', 'mel', 'mesa', 'mesh', 'mib', 'mob', 'mol', 'mola', 'molas', 'mole', 'moles', 'mop', 'obi', 'obol', 'obole', 'ole', 'olea', 'plash', 'plea', 'pleas', 'poi', 'pol', 'pole', 'polemize', 'poles', 'pom', 'pome', 'sal', 'sale', 'salmi', 'salp', 'sambo', 'same', 'samiel', 'samp', 'sample', 'sea', 'seal', 'seam', 'see', 'seem', 'sei', 'seize', 'sel', 'selah', 'seme', 'semi', 'sha', 'shale', 'shalom', 'sham', 'shame', 'she', 'shea', 'sheal', 'sheeve', 'vee', 'vie', 'vim', 'viol', 'viola', 'zee']
board:U U F G I J E T Qu C L E L R S Z 	n_words 52 	avg 84.8 	std 57.5 	min 26 	max 301 	N 24	words:['cee', 'cel', 'celt', 'cete', 'clef', 'cleft', 'eel', 'eft', 'els', 'else', 'fee', 'feel', 'feet', 'felt', 'fet', 'fete', 'feu', 'fuel', 'fuji', 'gee', 'gees', 'geez', 'gel', 'gels', 'gelt', 'get', 'ice', 'jee', 'jet', 'jete', 'jeu', 'juice', 'lee', 'leet', 'left', 'leg', 'let', 'leu', 'lez', 'see', 'seel', 'sel', 'set', 'sleet', 'tee', 'teel', 'teg', 'tel', 'tele', 'teles', 'tels', 'zee']
board:R E E J L U K O H L A E C T H R 	n_words 104 	avg 85.6 	std 56.4 	min 26 	max 301 	N 25	words:['akee', 'all', 'allee', 'allure', 'alt', 'are', 'auk', 'chukar', 'churl', 'clue', 'ear', 'eat', 'eau', 'eel', 'eke', 'ell', 'era', 'hae', 'hake', 'hall', 'halt', 'hao', 'hare', 'hat', 'hatch', 'haul', 'hauler', 'heal', 'health', 'hear', 'heat', 'heath', 'her', 'hue', 'hula', 'hulk', 'hull', 'huller', 'hurl', 'jee', 'jeer', 'jeu', 'joe', 'joke', 'joker', 'kae', 'kat', 'kea', 'keel', 'klatch', 'koa', 'kue', 'lake', 'laker', 'lar', 'lat', 'latch', 'lath', 'lathe', 'lather', 'laurel', 'lee', 'leek', 'lek', 'leu', 'lure', 'oak', 'oar', 'oat', 'oath', 'oka', 'oke', 'okeh', 'rake', 'rakee', 'raker', 'rat', 'ratch', 'rath', 'rathe', 'real', 'ree', 'reek', 'reeker', 'rhea', 'rue', 'rule', 'tae', 'tahr', 'take', 'taker', 'talc', 'talk', 'talker', 'tall', 'taluk', 'tao', 'tar', 'tare', 'tau', 'the', 'thrall', 'thurl', 'uke']
board:R O O M R N E A A L N S I E R V 	n_words 117 	avg 86.8 	std 55.7 	min 26 	max 301 	N 26	words:['aeon', 'ail', 'ale', 'alien', 'amen', 'ane', 'anear', 'anele', 'anes', 'anna', 'annal', 'anoa', 'ear', 'earl', 'earn', 'elan', 'enamel', 'enema', 'ens', 'eon', 'ern', 'erne', 'ers', 'ilea', 'lane', 'lanner', 'lar', 'lea', 'lean', 'leaner', 'lear', 'learn', 'leas', 'lei', 'leman', 'lemon', 'leno', 'lens', 'lense', 'liane', 'liar', 'lie', 'lien', 'lier', 'lierne', 'mae', 'maes', 'man', 'mane', 'manna', 'mans', 'manse', 'mas', 'mean', 'meaner', 'mel', 'men', 'meno', 'mensa', 'mesa', 'mesne', 'moa', 'moan', 'moaner', 'mon', 'mono', 'monorail', 'moo', 'moon', 'moor', 'nae', 'nail', 'nailer', 'nam', 'name', 'names', 'near', 'nema', 'neon', 'noel', 'noes', 'nom', 'noma', 'nome', 'nomen', 'noo', 'nor', 'oes', 'omen', 'one', 'ones', 'oorali', 'ora', 'oral', 'orle', 'rail', 'railer', 'rale', 'ran', 'real', 'reales', 'rear', 'rei', 'rename', 'roe', 'ronnel', 'room', 'same', 'sane', 'sea', 'seam', 'sel', 'sen', 'sene', 'senna', 'senor', 'senora']
board:E I N T T B Y F E T N O E N P E 	n_words 53 	avg 85.5 	std 55.0 	min 26 	max 301 	N 27	words:['bee', 'beet', 'ben', 'bene', 'benne', 'bent', 'bet', 'bin', 'bint', 'bit', 'bite', 'bitt', 'byte', 'eon', 'foe', 'fon', 'font', 'fop', 'foy', 'fytte', 'inby', 'info', 'neb', 'nee', 'net', 'nett', 'nib', 'nit', 'nite', 'oft', 'one', 'ope', 'open', 'opt', 'pen', 'penne', 'pent', 'pentene', 'peon', 'pone', 'pony', 'tee', 'teen', 'ten', 'tenet', 'tent', 'tet', 'tie', 'tin', 'tint', 'tyne', 'yin', 'yon']
board:R N L S S T B U H E E N E X Qu S 	n_words 64 	avg 84.8 	std 54.1 	min 26 	max 301 	N 28	words:['bee', 'bees', 'beet', 'ben', 'bequest', 'best', 'bet', 'beth', 'blue', 'blues', 'bluet', 'bun', 'bus', 'ens', 'eth', 'hebe', 'hes', 'hest', 'het', 'hex', 'lube', 'lune', 'lunet', 'neb', 'nee', 'net', 'nets', 'nub', 'queen', 'queens', 'quest', 'see', 'sees', 'seethe', 'sen', 'set', 'sets', 'sex', 'she', 'sheen', 'sheet', 'slub', 'slue', 'sneesh', 'snub', 'sub', 'subnet', 'subteen', 'sue', 'suet', 'sun', 'suns', 'sunset', 'tee', 'teen', 'teens', 'ten', 'tens', 'the', 'thee', 'unbe', 'uns', 'unset', 'unsex']
board:T V F H M J N O Qu H A W T U O D 	n_words 37 	avg 83.1 	std 53.9 	min 26 	max 301 	N 29	words:['ado', 'awn', 'dah', 'daut', 'daw', 'dawn', 'dow', 'down', 'foh', 'fohn', 'fon', 'had', 'haj', 'hao', 'haut', 'haw', 'hod', 'hon', 'how', 'howdah', 'hut', 'jaw', 'mho', 'naw', 'noh', 'now', 'ohm', 'out', 'own', 'than', 'thaw', 'tho', 'thou', 'wad', 'wan', 'woad', 'won']
board:E F J O - I M E R H X R D T R A 	n_words 178 	avg 86.3 	std 55.7 	min 26 	max 301 	N 30	words:['are', 'arid', 'ark', 'arm', 'arm', 'art', 'axe', 'die', 'dim', 'dime', 'dimer', 'dirt', 'dit', 'dot', 'drier', 'drift', 'edh', 'eft', 'eld', 'elhi', 'eme', 'emf', 'emf', 'emir', 'emir', 'emit', 'end', 'epimer', 'era', 'era', 'err', 'err', 'eth', 'exit', 'extra', 'extra', 'fed', 'feh', 'felt', 'fem', 'feme', 'fen', 'fend', 'feod', 'fer', 'fet', 'fid', 'fie', 'fie', 'fifth', 'fig', 'fight', 'fil', 'filth', 'fin', 'find', 'fir', 'fir', 'firth', 'firth', 'fit', 'fix', 'fix', 'fixer', 'fixer', 'fixt', 'fixt', 'foh', 'ghi', 'gie', 'gird', 'girt', 'grim', 'grime', 'hid', 'hie', 'hie', 'hied', 'hilt', 'him', 'him', 'hin', 'hind', 'hint', 'hip', 'hit', 'hod', 'hot', 'jig', 'jilt', 'jin', 'joe', 'jot', 'khi', 'kief', 'kif', 'lie', 'lief', 'life', 'lime', 'limo', 'mid', 'mig', 'might', 'mil', 'mild', 'milt', 'mim', 'mime', 'mimeo', 'mimer', 'mind', 'mint', 'mir', 'mir', 'mirth', 'mirth', 'mix', 'mix', 'mixer', 'mixer', 'mixt', 'mixt', 'mod', 'mot', 'moth', 'nim', 'nix', 'nixe', 'nth', 'ohm', 'omer', 'omit', 'phi', 'pht', 'pie', 'pix', 'rare', 'rax', 'rem', 'remit', 'remix', 'rex', 'rho', 'rid', 'rif', 'rif', 'rife', 'rifer', 'riff', 'rift', 'rig', 'rim', 'rim', 'rime', 'rime', 'rimer', 'rimer', 'rod', 'rot', 'the', 'thief', 'thin', 'thio', 'thir', 'thir', 'third', 'third', 'tho', 'tie', 'time', 'timer', 'tod', 'tried', 'trier', 'trig', 'trim', 'trimer']
